TINV TI-06 FinOps — Matriz de Fuentes,,,,,,,,,,,,,,,,
"Una fila por fuente. Las columnas A (ID) y M (alerta de solapamiento) se calculan solas: no escribir sobre ellas. Regla del equipo: cada fuente pertenece a UN solo pilar. Si dos integrantes cargan el mismo DOI en pilares distintos, la fila se pinta roja.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
ID,Buscador,Palabras de Busqueda,Anio,Autores,Titulo,Abstract,Keyword,Publicacion / Link - DOI,Tipo de fuente,A que pilar pertenece,Seccion del informe,Alerta de solapamiento,Quien lo encontro,Estado,Comentarios,Se encuentra en carpeta
020,Sitio oficial,FinOps rate optimization commitments reservations CUD spot,2026,FinOps Foundation,Rate Optimization,"Ordena la optimizacion de tarifas mediante compromisos, reservas, descuentos por uso comprometido y capacidad interrumpible.",rate optimization; commitments; reservations; CUD; spot,https://www.finops.org/framework/capabilities/rate-optimization/,Oficial/estandar,P2,4. Analisis comparativo,,Matias Romero,Verificada para matriz,Autoridad: capacidad oficial del FinOps Framework. Metodo: guia operativa. Limite: las condiciones contractuales y el riesgo de subutilizacion deben validarse por proveedor. Original verificado el 2026-09-13.,No
021,Sitio oficial,FinOps architecting workload placement shift left cost aware design,2026,FinOps Foundation,Architecting and Workload Placement,"Integra costo y valor en decisiones tempranas de arquitectura y ubicacion de workloads, incluyendo restricciones tecnicas y comerciales.",architecting; workload placement; shift-left; cost-aware design,https://www.finops.org/framework/capabilities/architecting-workload-placement/,Oficial/estandar,P3,4. Analisis comparativo,,Cristofer Contreras,Verificada para matriz,Autoridad: capacidad oficial del FinOps Framework. Metodo: guia de practica. Limite: no sustituye la evaluacion de requisitos ni el TCO del caso. Original verificado el 2026-09-13.,No
022,Sitio oficial,FinOps licensing SaaS BYOL support hidden costs,2026,FinOps Foundation,Licensing and SaaS,"Incorpora licencias, BYOL, contratos SaaS y costo total en la gestion FinOps para evitar omitir costos no ligados directamente al consumo cloud.",licensing; SaaS; BYOL; contracts; TCO,https://www.finops.org/framework/capabilities/licensing-saas/,Oficial/estandar,P3,5. Caso practico,,Matias Romero,Verificada para matriz,Autoridad: capacidad oficial del FinOps Framework. Metodo: guia de practica. Limite: valores y condiciones dependen de contratos; declarar solo por cotizacion cuando no exista precio publico. Original verificado el 2026-09-13.,No
023,Sitio oficial,AWS EC2 data transfer egress inter availability zone pricing,2026,Amazon Web Services,Amazon EC2 On-Demand Pricing,"Documenta cobros de transferencia, trafico entre zonas y otros cargos asociados al uso bajo demanda de EC2.",EC2; data transfer; egress; inter-AZ; on-demand,https://aws.amazon.com/ec2/pricing/on-demand/,Comercial/proveedor,P2,5. Caso practico,,Cristofer Contreras,Verificada para matriz,"Autoridad: pagina oficial de precios AWS. Metodo: tarifa de lista. Sesgo: fuente interesada del proveedor; region, volumen y vigencia deben conservarse al citar cifras. Original verificado el 2026-09-13.",No
024,Sitio oficial,Amazon S3 storage classes tiering access patterns cost,2026,Amazon Web Services,Amazon S3 Storage Classes,"Describe clases de almacenamiento y patrones de acceso que modifican el costo de capacidad, recuperacion y administracion.",S3; storage classes; tiering; access patterns; retrieval,https://aws.amazon.com/s3/storage-classes/,Comercial/proveedor,P2,6. Tendencias,,Matias Romero,Verificada para matriz,Autoridad: documentacion oficial AWS. Metodo: descripcion del producto. Sesgo: fuente interesada; no usar como comparacion neutral y validar precios en la pagina regional. Original verificado el 2026-09-13.,No
025,Sitio oficial,AWS Support pricing plan minimum percentage hidden cost,2026,Amazon Web Services,AWS Support Plans Pricing,"Expone minimos y porcentajes de los planes de soporte, un componente que puede quedar fuera de una comparacion limitada al consumo tecnico.",AWS Support; plan; percentage; minimum; hidden cost,https://aws.amazon.com/premiumsupport/pricing/,Comercial/proveedor,P3,5. Caso practico,,Cristofer Contreras,Verificada para matriz,Autoridad: pagina oficial de precios AWS. Metodo: tarifa de lista por plan. Sesgo: fuente interesada; la seleccion del plan requiere justificacion humana segun el caso. Original verificado el 2026-09-13.,No
026,Sitio oficial,Google Cloud Spot VMs pricing preemption risk,2026,Google Cloud,Spot VMs,"Documenta el comportamiento, los descuentos y el riesgo de interrupcion de las maquinas virtuales Spot de Google Cloud.",Google Cloud; Spot VM; preemption; discount; risk,https://docs.cloud.google.com/compute/docs/instances/spot,Comercial/proveedor,P2,4. Analisis comparativo,,Matias Romero,Verificada para matriz,Autoridad: documentacion oficial Google Cloud. Metodo: especificacion del producto. Sesgo: fuente interesada; el ahorro debe evaluarse junto con tolerancia a interrupciones. Original verificado el 2026-09-13.,No
,Google Scholar,,2025,"Manurung, H., y Aji, R.F.",Evaluating the Implementation of the FinOps Framework for Cloud Infrastructure Cost Management: A Case Study of Technology Companies in Indonesia,"Estudio de caso mixto con seis arquitectos de nube en empresas tecnologicas de Indonesia que mide la madurez de adopcion de FinOps con el modelo Crawl/Walk/Run. El promedio fue 1.53/3.00 (fase Crawl-Walk): buena capacidad tecnica (rightsizing, RIs) pero fuerte rezago en gobernanza y asignacion centralizada de costos.",Cloud computing; FinOps framework; Cost optimization,"Scientific Journal of Informatics, Vol. 12, No. 4 (nov. 2025), pp. 709-720. https://doi.org/10.15294/sji.v12i4.36226",Academica,P1,,,,,"Fuente academica revisada por pares (Scientific Journal of Informatics, UNNES). Metodo: estudio de caso mixto (6 entrevistas + rubrica cuantitativa Crawl/Walk/Run). Limite: muestra pequena (n=6) y contexto especifico de Indonesia; los propios autores senalan que la generalizacion es analitica, no estadistica.",Si
,Google Scholar,,2026,"Turkkan, B.O., Murali, P., Narayanaswami, C., y Sheinin, V.",Agentic Solutions for IT Financial Operations,"Presenta un agente de IA (arquitectura LangGraph) que permite a practicantes de FinOps consultar datos de facturacion en lenguaje natural, combinando Text2SQL y una herramienta de ejecucion de codigo Python. Evaluado en escenarios ITBench, alcanza hasta 90% de precision al descomponer consultas complejas en tareas simples.",No especifica keywords,"The Fortieth AAAI Conference on Artificial Intelligence (AAAI-26), pp. 41703-41705 (sin DOI visible en el PDF).",Academica,P1,,,,,Fuente academica (AAAI-26; autores de IBM Research). Metodo: paper de demostracion de un sistema evaluado en datos de muestra (ITBench/FOCUS sample data). Limite: no usa facturacion real de produccion y no reporta el costo de operar el propio agente.,Si
,Google Scholar,,2017,"Tak, B.C., Kwon, Y., y Urgaonkar, B.",Resource Accounting of Shared IT Resources in Multi-Tenant Clouds,"Propone Rameter, tecnica de contabilizacion de recursos a nivel de hilo dentro del hipervisor para atribuir consumo de CPU, red y disco entre entidades que comparten un mismo servicio multi-tenant. Frente a un metodo de regresion lineal (LR), logra menos de 1% de error de atribucion (vs. 5-150% de LR) y mejora decisiones de throttling y cumplimiento de SLA.",Cloud computing; distributed system; resource management,"IEEE Transactions on Services Computing, Vol. 10, No. 2 (mar-abr 2017), pp. 302-315. https://doi.org/10.1109/TSC.2015.2453980",Academica,P1,,,,,"Fuente academica revisada por pares (IEEE TSC). Metodo: diseno e implementacion de un mecanismo de contabilizacion validado con benchmarks sinteticos y dos servicios reales (MySQL Cluster, HBase). Limite: implementado sobre Xen 3.1.4 (para-virtualizacion), tecnologia de hipervisor antigua; no cubre memoria.",Si
,Google Scholar,,2012,"Chaisiri, S., Lee, B.-S., y Niyato, D.",Optimization of Resource Provisioning Cost in Cloud Computing,"Formula un problema de programacion estocastica multietapa (OCRP) para decidir cuanto reservar vs. comprar bajo demanda en la nube, bajo incertidumbre de demanda y precio. Resuelve el modelo con formulacion determinista equivalente, descomposicion de Benders y aproximacion por muestreo (SAA), mostrando ahorro frente a reserva maxima o nula.",Cloud computing; resource provisioning; virtualization; virtual machine placement; stochastic programming,"IEEE Transactions on Services Computing, Vol. 5, No. 2 (abr-jun 2012), pp. 164-177. https://doi.org/10.1109/TSC.2011.7",Academica,P2,,,,,"Fuente academica revisada por pares (IEEE TSC). Metodo: programacion estocastica multietapa con recurso, resuelta via formulacion determinista, descomposicion de Benders y SAA. Limite: parametros de precio/demanda basados en distribuciones supuestas y precios de AWS EC2 de 2010; no reflejan tarifas actuales.",Si
,Google Scholar,,2024,"Fragiadakis, G., Tsadimas, A., Filiopoulou, E., Kousiouris, G., Michalakelis, C., y Nikolaidou, M.",Cloud PricingOps: A Decision Support Framework to Explore Pricing Policies of Cloud Services,"Propone CloudPricingOps, un sistema de soporte de decisiones para analizar, comparar y predecir politicas de precios de servicios cloud entre proveedores, usando modelos hedonicos, series de tiempo y tecnicas de clustering/machine learning. Se ilustra con dos ejemplos basados en datos reales para equipos de ingenieria y negocio.",cloud computing; decision support system; cloud pricing,"Applied Sciences 2024, 14, 11946. https://doi.org/10.3390/app142411946",Academica,P2,,,,,"Fuente academica revisada por pares y de acceso abierto (MDPI Applied Sciences). Metodo: propuesta de un framework de soporte de decisiones (modelos hedonicos, series de tiempo, clustering/ML) ilustrado con dos casos de datos reales. Limite: framework general y extensible; su utilidad depende de la calidad y vigencia del dataset de precios que se alimente.",Si
,Google Scholar,,2025,"Yoon, Y., Choi, B., y Lee, J.",Design of Experiments-Based Adaptive Scheduling in Kubernetes for Performance and Cost Optimization,"Propone un scheduler personalizado de Kubernetes que usa Diseno de Experimentos (Superficie de Respuesta + Diseno Compuesto Central) para hallar el tamano optimo de CPU/memoria por aplicacion con pocos experimentos. En cinco cargas de trabajo distintas mejora el puntaje costo-rendimiento en promedio 1.5x frente a la asignacion maxima, con significancia estadistica (p menor a 0.05).",Kubernetes; adaptive scheduling; design of experiments (DoE); resource optimization; performance and cost optimization; custom scheduler; cloud computing; workload management,"Applied Sciences 2025, 15, 10098. https://doi.org/10.3390/app151810098",Academica,P2,,,,,"Fuente academica revisada por pares (MDPI Applied Sciences). Metodo: Diseno de Experimentos (RSM+CCD) con 13 corridas por aplicacion, validado con prueba t pareada/Wilcoxon. Limite: evaluado en un cluster pequeno de una sola maquina AWS EC2 (8 vCPU), sin escenarios multiusuario ni autoescalado.",Si
,Google Scholar,,2024,"Feitosa, D., Penca, M.-T., Berardi, M., Boza, R.-D., y Andrikopoulos, V.",Mining for cost awareness in the infrastructure as code artifacts of cloud-based applications: An exploratory study,"Mineria de 152.735 repositorios de GitHub que usan Terraform para detectar evidencia de conciencia de costos en mensajes de commit e issues. Los desarrolladores no solo mencionan el costo, sino que toman acciones concretas (cambio de instancias, tiering de almacenamiento, alertas); los hallazgos se organizan en un grafo de conocimiento y se validan con discusiones de Stack Overflow.",Cloud computing; Cost awareness; Mining software repositories; Cloud orchestration,"The Journal of Systems and Software, 215 (2024) 112112. https://doi.org/10.1016/j.jss.2024.112112",Academica,P2,,,,,"Fuente academica revisada por pares y de acceso abierto (Journal of Systems and Software, Elsevier). Metodo: mineria de repositorios (MSR) con codificacion inductiva/deductiva sobre commits e issues de Terraform, triangulada con Stack Overflow. Limite: cubre solo Terraform (no otras herramientas IaC) y depende de las palabras clave definidas por los autores.",Si
,Google Scholar,,2026,"Cho, C.-H.",FinOps-Aware Budget-Constrained Optimization for Cloud Resource Management,"Formaliza el redimensionamiento de VMs bajo restricciones presupuestarias estrictas como un problema NP-duro y propone un solver dual (Budget-aware Dual) que usa el precio sombra para guiar decisiones hacia la factibilidad presupuestaria. Reduce violaciones de presupuesto a cero y el cambio operativo de 53.95% a 7.80%, siendo mas de 100x mas rapido que NSGA-II.",FinOps; cloud resource management; budget-constrained optimization; cloud cost management; hard budget constraints; dual-based optimization; multi-objective optimization; cloud computing,"Applied Sciences 2026, 16, 3302. https://doi.org/10.3390/app16073302",Academica,P2,,,,,"Fuente academica revisada por pares (MDPI Applied Sciences). Metodo: formulacion de optimizacion con demostracion de NP-dureza y solver dual (BD), comparado contra NSGA-II en simulaciones. Limite: autor unico; resultados de experimentos simulados, no de una nube productiva real.",Si
,Google Scholar,,2018,"Megahed, A., Nazeem, A., Yin, P., Tata, S., Motahari Nezhad, H.R., y Nakamura, T.",Optimizing cloud solutioning design,"Desde la perspectiva del proveedor de nube (no del cliente), formula el diseno de soluciones cloud personalizadas como un modelo de programacion entera que minimiza el costo/precio cumpliendo restricciones del cliente y de la oferta. Evaluado con datos reales de negocio, reduce tiempo y error frente al diseno manual.",Cloud Solution Design; Cloud Computing; Optimization; Integer Programming; Operations Research; Heuristics,Future Generation Computer Systems (2018). https://doi.org/10.1016/j.future.2018.08.005,Academica,P2,,,,,"Fuente academica (autores de IBM Research; Future Generation Computer Systems, Elsevier). Metodo: modelo de programacion entera evaluado con datos reales de negocio de IBM contra dos baselines. Sesgo: perspectiva del proveedor de nube, no del cliente; datos de evaluacion no publicos.",Si
,Google Scholar,,2011,"Misra, S.C., y Mondal, A.",Identification of a company's suitability for the adoption of cloud computing and modelling its corresponding Return on Investment,"Propone un marco para que las empresas evaluen su idoneidad para migrar a la nube y un modelo general de Retorno de Inversion (ROI) que incorpora impactos intangibles ademas del costo directo, como apoyo a la decision de adoptar arquitecturas cloud.",Cloud computing; Return on Investment (ROI); Benefits of cloud computing; Cost of cloud computing,"Mathematical and Computer Modelling, 53 (2011) 504-521. https://doi.org/10.1016/j.mcm.2010.03.037",Academica,P3,,,,,"Fuente academica revisada por pares (Mathematical and Computer Modelling, Elsevier). Metodo: propuesta conceptual de un marco de idoneidad y un modelo general de ROI. Limite: fuente de 2011, anterior a FinOps y a los modelos de precios actuales de los hyperscalers; util para conceptos de ROI, no para cifras vigentes.",Si
,Google Scholar,,2017,"Bazi, H.R., Hasanzadeh, A., y Moeini, A.",A comprehensive framework for cloud computing migration using Meta-synthesis approach,"Mediante meta-sintesis de mas de 657 estudios, propone un marco integral de migracion a la nube con siete fases y quince subcategorias, junto con un modelo de madurez (ClM3) para mejorar el proceso de migracion, validado con grupos focales de expertos.",Cloud Computing; Migration Framework; Meta-Synthesis; Process Maturity Model,"The Journal of Systems & Software (2017), manuscrito aceptado. https://doi.org/10.1016/j.jss.2017.02.049",Academica,P3,,,,,"Fuente academica revisada por pares (Journal of Systems & Software, Elsevier). Metodo: meta-sintesis cualitativa de mas de 657 estudios, validada con grupos focales de expertos. Limite: marco general de migracion, no especifico a la gestion financiera/FinOps del gasto cloud.",Si
,Google Scholar,,2016,"Schniederjans, D.G., y Hales, D.N.",Cloud computing and its impact on economic and environmental performance: A transaction cost economics perspective,"Desde la economia de costos de transaccion (TCE), analiza con datos de encuesta a 247 profesionales de TI y cadena de suministro como la computacion en la nube afecta el desempeno economico y ambiental de las empresas, usando modelado de ecuaciones estructurales (PLS).",Cloud computing; Collaboration; Economic performance; Environmental performance,Decision Support Systems (2016). https://doi.org/10.1016/j.dss.2016.03.009,Academica,P3,,,,,"Fuente academica revisada por pares (Decision Support Systems, Elsevier). Metodo: encuesta a 247 profesionales, modelado de ecuaciones estructurales (PLS-SEM). Limite: mide percepciones de desempeno economico/ambiental, no costos monetarios directos ni tarifas de nube.",Si
,Google Scholar,,2025,The ATLAS Collaboration,Total Cost of Ownership and Evaluation of Google Cloud Resources for the ATLAS Experiment at the LHC,"Analisis de Costo Total de Propiedad (TCO) de 15 meses del uso de Google Cloud por el experimento ATLAS del LHC (CERN), identificando el trafico de red como el principal factor de costo y demostrando 'bursting' de recursos a gran escala como mecanismo viable pero costoso.",No especifica keywords,Computing and Software for Big Science (2025) 9:2. https://doi.org/10.1007/s41781-024-00128-x,Academica,P3,,,,,"Fuente academica de acceso abierto (colaboracion CERN/ATLAS; Computing and Software for Big Science, Springer). Metodo: analisis de TCO sobre 15 meses de uso real de Google Cloud. Limite: tarifa negociada (flat-rate) especifica del acuerdo ATLAS-Google; no es directamente comparable a precios de lista publicos.",Si
